word,value
decadence,-4
decadent,-4
decay,-4
decayed,-4
deceit,-4
deceitful,-4
deceitfully,-4
deceitfulness,-4
deceive,-4
deceiver,-4
deceivers,-4
deceiving,-4
deception,-4
deceptive,-4
deceptively,-4
declaim,-4
decline,-4
declines,-4
declining,-4
decrement,-4
decrepit,-4
decrepitude,-4
decry,-4
defamation,-4
defamations,-4
defamatory,-4
defame,-4
defect,-4
defective,-4
defects,-4
defensive,-4
defiance,-4
defiant,-4
defiantly,-4
deficiencies,-4
deficiency,-4
deficient,-4
defile,-4
defiler,-4
deform,-4
deformed,-4
defrauding,-4
defunct,-4
defy,-4
degenerate,-4
degenerately,-4
degeneration,-4
degradation,-4
degrade,-4
degrading,-4
degradingly,-4
dehumanization,-4
dehumanize,-4
deign,-4
deject,-4
dejected,-4
dejectedly,-4
dejection,-4
delay,-4
delayed,-4
delaying,-4
delays,-4
delinquency,-4
delinquent,-4
delirious,-4
delirium,-4
delude,-4
deluded,-4
deluge,-4
delusion,-4
delusional,-4
delusions,-4
demean,-4
demeaning,-4
demise,-4
demolish,-4
demolisher,-4
demon,-4
demonic,-4
demonize,-4
demonized,-4
demonizes,-4
demonizing,-4
demoralize,-4
demoralizing,-4
demoralizingly,-4
denial,-4
denied,-4
denies,-4
denigrate,-4
denounce,-4
dense,-4
dent,-4
dented,-4
dents,-4
denunciate,-4
denunciation,-4
denunciations,-4
deny,-4
denying,-4
deplete,-4
deplorable,-4
deplorably,-4
deplore,-4
deploring,-4
deploringly,-4
deprave,-4
depraved,-4
depravedly,-4
deprecate,-4
depress,-4
depressed,-4
depressing,-4
depressingly,-4
depression,-4
depressions,-4
deprive,-4
deprived,-4
deride,-4
derision,-4
derisive,-4
derisively,-4
derisiveness,-4
derogatory,-4
desecrate,-4
desert,-4
desertion,-4
desiccate,-4
desiccated,-4
desititute,-4
desolate,-4
desolately,-4
desolation,-4
despair,-4
despairing,-4
despairingly,-4
desperate,-4
desperately,-4
desperation,-4
despicable,-4
despicably,-4
despise,-4
despised,-4
despoil,-4
despoiler,-4
despondence,-4
despondency,-4
despondent,-4
despondently,-4
despot,-4
despotic,-4
despotism,-4
destabilisation,-4
destains,-4
destitute,-4
destitution,-4
destroy,-4
destroyer,-4
destruction,-4
destructive,-4
desultory,-4
deter,-4
deteriorate,-4
deteriorating,-4
deterioration,-4
deterrent,-4
detest,-4
detestable,-4
detestably,-4
detested,-4
detesting,-4
detests,-4
detract,-4
detracted,-4
